user_name	user_id	user_registration
Saqibroy	24183048	20150220064746
Afddiary	20158302	20131117000933
Bigbaxter	2769023	20061116051526
Acekrn	844241	20060127001248
Awesomebanana03	21450716	20140521113239
Emddarn	23914561	20150126235103
Awlingbeck	13065449	20100913082123
Emmasingi	18001221	20121201164053
RM0842	16768147	20120505103056
Naotmaa7	15109629	20110809194539
Liulynn007	27602450	20160217163216
Kaoinj	9368423	20090402204754
Hermajesty	253629	20050430150119
Lakecan	24999565	20150429135920
Oblivion23	7502386	20080719154522
Shandromand	9177402	20090310042328
Tdrawler	181417	20050201005915
Nenorakam	28095089	20160415105505
Nicodemus~enwiki	14175	20030626090134
Eponine1	8682951	20090109001905
Hefo~enwiki	768599	20060109124043
52yearinvestigator	132494	20041110144109
Joeyparent63	9338950	20090330084129
Webinvestable	22551745	20140916030809
WeggeBot	1161488	20060328175508
Awesome2anish	21139477	20140407071151
ForteTwo	293095	20050610001752
XZAceXZ	16726543	20120427202550
SEVEN	56722	20040401153139
Wastedkila	189409	20050512023300
Smashencoo	5916827	20071129214350
Slothario	6656174	20080313040555
Bergamote	19057407	20130522095215
Bochen181	11120509	20091129055842
Chessphoon	102541	20040909001552
Avijitjana00	19698144	20130910133614
GDHopkins	1289768	20060420175851
Persianguyagain	4203281	20070423055139
Sanserson	232485	20050408195601
Ciberjovial	7209937	20080529233902
Mohitrsj	26068384	20150822160718
Özdemir	239285	20050416001712
146pilot	17976844	20121128051032
DRM58	14616012	20110520110417
Tomchaffey	978011	20060223051058
Deters3	9123250	20090303145130
Whosasking	266774	20050515041623
Bhuzel	24725203	20150411084858
Cokil	11001479	20091112140357
GangleriBot~enwiki	197810	20050223120540
Kfunds	3439576	20070203015741
Pranav21391	10914649	20091101183358
Ravichandar84	2271194	20060919033839
Draftdodger	5109703	20070817052514
Domesticenginerd	11322724	20091229181419
Suhailtahir	16482548	20120315160548
Writterio	16318614	20120218051954
Yandex1	18506202	20130222132436
Intern2012	16989343	20120613155903
Hans1919	25970599	20150810063609
AbbeyBominable737	21545496	20140603152159
Arunraje03	16619359	20120409105437
Azorbli	18943952	20130502151145
Rileyread	10399741	20090824200127
Refizul~enwiki	16224732	20120203203706
Muzaffer1453	12125871	20100411194320
BenoitGui	17719905	20121018112006
StephanusJunius	12036361	20100330101002
Rdr616	10980603	20091110011421
DJFLAVIOLIMA	15409888	20110926155346
Esaazzdlkqaa	15624331	20111029180841
SustainaBro2017	15461299	20111004150403
Avanchak	27659056	20160224101505
Xoxvox	11263053	20091219060034
Hobes	864331	20060131172000
Juliantile	11190656	20091208205652
